pin,gender,marital_status,have_children,mvs_1,mvs_2,mvs_3,mvs_4,mvs_5,mvs_6,mvs_7,mvs_8,mvs_9,swls2019_1,swls2019_2,swls2019_3,swls2019_4,swls2019_5,swls2021_1,swls2021_2,swls2021_3,swls2021_4,swls2021_5
35,0,1,1,3,2,2,2,2,3,1,3,3,4,3,4,4,3,4,3,3,3,3
36,1,1,0,4,3,3,4,3,4,3,4,2,4,4,4,3,3,3,4,4,3,3
37,1,1,0,3,3,4,4,3,4,3,3,2,3,3,3,3,3,2,3,3,3,3
38,0,1,0,3,1,4,4,3,4,3,3,2,5,5,4,4,4,5,5,4,4,4
39,0,2,0,4,4,5,5,4,5,4,4,1,3,3,3,3,3,3,2,3,3,3
40,1,3,1,2,2,4,3,3,4,4,4,2,5,5,4,5,4,4,4,3,4,3
41,0,1,0,2,1,4,3,3,4,2,4,2,4,4,3,4,4,4,4,3,4,4
42,0,3,0,3,3,5,5,4,5,5,5,1,4,5,4,5,5,4,4,4,5,5
43,1,1,1,4,2,4,2,4,4,3,4,2,5,4,4,4,5,4,4,3,3,4
44,1,2,1,4,2,4,2,4,4,3,4,2,5,5,5,6,6,4,4,4,5,5
45,1,1,0,5,3,5,3,5,5,4,5,1,4,3,4,3,3,3,3,4,3,3
46,0,3,1,4,2,4,3,2,4,4,2,2,4,3,4,3,3,4,2,3,2,3
47,0,2,0,4,3,4,3,2,4,3,2,2,5,4,4,5,4,5,3,4,5,4
48,0,1,1,5,3,5,5,3,5,5,3,1,4,3,4,4,4,4,3,3,3,4
49,1,3,0,3,3,4,2,3,3,4,3,2,4,4,3,3,4,3,3,3,3,4
50,1,3,1,3,1,4,2,3,3,2,3,2,5,4,5,5,5,4,3,4,4,4
51,1,2,0,4,4,5,5,4,4,5,4,1,4,3,3,3,4,3,2,3,3,4
52,1,3,0,2,3,4,2,2,3,2,2,3,5,5,5,5,5,4,4,5,5,5
53,0,1,0,2,1,4,2,2,3,2,2,3,3,3,4,3,4,3,3,4,3,4
54,1,2,1,3,4,5,3,3,4,3,3,2,5,5,5,4,5,4,4,4,3,4
55,0,1,1,4,1,4,4,4,4,4,4,2,4,4,5,4,5,4,4,4,3,5
56,0,3,0,4,2,4,4,4,4,3,4,2,4,3,3,3,4,4,2,3,3,4
57,1,3,1,5,2,5,3,5,5,5,5,1,5,5,5,6,5,4,4,4,5,4
58,0,3,0,4,3,3,4,3,3,2,3,3,5,5,4,4,4,5,4,4,4,4
59,0,1,0,4,3,3,4,3,3,1,3,3,4,5,4,5,5,4,5,4,5,5
60,1,1,0,5,4,4,3,4,4,3,4,2,5,4,5,5,5,4,4,5,5,5
61,1,2,0,4,4,2,3,4,4,3,4,2,4,3,4,3,4,3,2,4,3,4
62,0,2,1,4,1,2,3,4,4,2,4,2,4,4,5,5,4,4,3,4,4,4
63,0,2,0,5,5,3,5,5,5,4,5,1,4,4,3,3,3,4,3,3,3,3
64,1,1,0,3,4,3,2,4,3,3,3,3,5,4,4,4,4,4,4,4,4,4
65,0,1,0,3,3,3,2,4,3,3,3,3,4,4,5,4,4,4,4,5,4,4
66,1,1,0,4,5,4,4,5,4,4,4,2,5,5,4,4,4,4,5,4,4,4
67,1,2,1,2,3,2,2,2,2,2,3,4,5,5,4,4,5,4,4,3,3,4
68,0,2,1,2,2,2,2,2,2,2,3,4,4,4,3,4,4,4,3,2,3,4
69,1,1,1,3,4,3,3,3,3,3,4,3,6,6,6,5,6,5,6,5,4,5
70,0,3,0,4,4,4,3,4,4,4,4,2,4,4,4,4,5,4,3,4,4,5
71,1,2,1,4,3,4,3,4,4,2,4,2,4,5,5,4,5,3,4,4,3,4
72,0,1,0,5,5,5,5,5,5,5,5,1,4,5,5,4,4,4,5,5,4,4
73,0,3,0,3,3,3,3,2,3,2,3,3,4,5,5,5,4,4,4,5,5,4
74,0,1,0,3,2,3,3,2,3,2,3,3,4,5,4,4,5,4,5,4,4,5
75,0,2,1,4,4,4,4,3,4,3,4,2,4,4,4,3,4,4,3,3,2,4
76,0,2,1,4,4,2,3,2,4,3,4,2,5,4,4,4,5,5,3,3,3,5
77,1,1,1,4,2,2,3,2,4,3,4,2,5,6,6,6,6,4,7,5,5,5
78,0,2,0,5,5,3,5,3,5,4,5,1,4,3,3,3,4,4,2,3,3,4
79,0,1,0,2,2,3,4,2,3,4,2,3,4,3,4,4,3,4,3,4,4,3
80,0,3,0,2,1,3,4,2,3,3,2,3,4,4,4,4,4,4,3,4,4,4
81,0,3,1,3,3,4,4,3,4,5,3,2,5,5,5,4,5,5,4,4,3,5
82,1,1,1,4,3,3,2,4,3,3,4,2,4,5,5,4,5,3,5,4,3,4
83,0,2,1,4,3,3,2,4,3,2,4,2,4,3,4,3,4,4,2,3,2,4
84,1,1,0,5,4,4,4,5,4,4,5,1,5,5,4,4,4,4,5,4,4,4
85,1,3,1,3,3,3,4,3,3,3,3,3,3,4,3,4,4,2,3,2,3,3
86,1,1,0,3,1,3,4,3,3,3,3,3,6,7,5,5,5,5,6,5,5,5
87,1,2,0,4,4,4,4,4,4,4,4,2,5,5,6,7,5,4,4,6,6,5
88,0,3,0,4,4,4,2,4,4,4,4,2,4,4,5,5,5,4,3,5,5,5
89,0,1,0,4,3,4,2,4,4,1,4,2,5,5,4,4,5,5,5,4,4,5
90,0,3,0,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,4,5,4,5
91,1,2,0,3,4,4,2,3,4,4,3,2,5,5,5,5,4,4,4,5,5,4
